neighborhood,children,playgrounds,rinks,pools
Allegheny Center,202,13,9,1
Allegheny West,0,0,0,0
Allentown,371,4,1,0
Arlington,353,0,0,0
Arlington Heights,95,0,0,0
Banksville,460,4,3,1
Bedford Dwellings,156,3,2,1
Beechview,1220,17,7,1
Beltzhoover,516,7,9,1
Bloomfield,730,6,5,1
Bluff,2057,2,0,0
Bon Air,132,3,1,0
Brighton Heights,1426,6,2,1
Brookline,1704,6,9,1
California-Kirkbride,277,0,0,0
Carrick,1542,7,3,1
Central Business District,447,0,0,0
Central Lawrenceville,639,3,1,0
Central Northside,466,4,2,0
Central Oakland,752,2,1,0
Chartiers City,39,0,0,0
Chateau,0,0,0,0
Crafton Heights,569,6,3,0
Crawford-Roberts,407,6,2,0
Dequesne Heights,273,4,2,0
East Allegheny,204,0,0,0
East Carnegie,114,2,2,0
East Hills,934,0,2,1
East Liberty,991,8,6,0
Elliott,753,7,4,0
Esplen,47,2,0,0
Fairywood,237,4,2,0
Fineview,198,7,2,0
Friendship,133,0,0,0
Garfield,1163,7,3,0
Glen Hazel,143,0,0,0
Greenfield,930,7,5,1
Hays,21,2,1,0
Hazelwood,867,13,10,1
Highland Park,752,10,20,2
Homewood North,851,3,0,0
Homewood South,302,0,0,0
Homewood West,203,4,1,0
Knoxville,1044,0,0,0
Larimer,314,3,1,1
Lincoln Place,433,9,4,1
Lincoln-Lemington-Belmar,1312,6,2,0
Lower Lawrenceville,292,2,6,0
Manchester,627,7,6,0
Marsall-Shadeland,1244,6,1,0
Middle Hill,256,3,1,0
Morningside,474,6,4,0
Mount Washington,914,10,5,1
Mount Oliver,172,0,0,0
New Homestead,248,3,2,0
North Oakland,4199,0,0,0
North Shore,0,0,0,0
Northview Heights,427,0,0,0
Oakwood,195,4,3,0
Overbrook,635,0,0,0
Perry North,601,6,0,0
Perry South,1025,3,1,0
Point Breeze,792,0,2,0
Point Breeze North,201,3,1,0
Polish Hill,83,3,1,1
Regent Square,52,9,6,0
Ridgemont,21,0,0,0
Shadyside,818,5,2,1
Sheraden,1052,13,6,1
South Oakland,282,7,2,0
South Shore,4,0,0,0
South Side Flats,317,5,5,2
South Side Slopes,463,14,6,1
Spring Garden,77,3,2,0
Spring Hill-City View,402,3,4,0
Squirrel Hill North,3212,0,1,0
Squirrel Hill South,1782,31,23,1
St. Clair,84,0,0,0
Stanton Heights,648,3,2,0
Strip District,34,1,1,0
Summer Hill,123,0,0,0
Swisshelm Park,187,6,2,0
Terrace Village,1321,3,5,0
Troy Hill,405,7,8,1
Upper Hill,337,4,1,0
Upper Lawrenceville,591,4,2,0
West End,65,3,2,0
West Oakland,1011,1,0,0
Westwood,514,1,0,1
Windgap,175,4,0,0